,date,category_id,site_code,site_title,site_link,price_new,price_old
0,2024-01-28,2,vprok,Стейк Мираторг из свиной шейки 400г,https://www.vprok.ru/product/miratorg-mirat-steyk-iz-sheyk-sv-gzms400g--393530,339.0,
1,2024-01-28,2,vprok,Ребра свиные Мираторг Деликатесные 0.4-0.8кг,https://www.vprok.ru/product/miratorg-rebra-svinye-ohl-1kg--303748,489.0,
2,2024-01-28,2,vprok,Ребрышки свиные Мираторг охлажденные 0.9-1.2кг,https://www.vprok.ru/product/miratorg-mir-rebryshki-svin-ohl-1kg--479599,459.0,
3,2024-01-28,2,vprok,Ребрышки свиные Черкизово из корейки 0.3-0.7кг,https://www.vprok.ru/product/cherkizovo-cherk-rebr-ikor-sv-vu-kat-b1kg--408776,519.99,
4,2024-01-28,2,vprok,Ребрышки свиные Мираторг К Пиву 1-1.3кг,https://www.vprok.ru/product/miratorg-mirat-rebryshki-k-pivu-svin-1kg--497125,234.0,
5,2024-01-28,2,vprok,Стейк шейки свиной для барбекю в маринаде,https://www.vprok.ru/product/perekrestok-spm-steyk-sheyki-dbarbekyu-v-marinade-1kg--693865,560.0,
6,2024-01-28,4,vprok,Цыпленок Петелинка тушка 1.6-2кг,https://www.vprok.ru/product/petelinka-petel-tsyplenok-1k-ohl-podl-1kg--303818,239.0,
7,2024-01-28,4,vprok,Тушка цыпленка-бройлера Петруха 1.3-1.7кг,https://www.vprok.ru/product/petruha-petr-tushka-tsb-vu-1sort-ohl-1kg--523518,249.0,
8,2024-01-28,6,vprok,Сельдь Русское море Исландка филе-кусочки в беловинной заливке 115г,https://www.vprok.ru/product/russkoe-more-rus-more-seld-islan-fk-bel-vine-115g--307492,117.0,
